city,gini_aftertax,lico_at_pct,lim_at_pct,median_aftertax_income,tenant_shelter_burden_pct,unemployment_rate,province_abbr
Abbotsford - Mission,0.264,3.4,8.3,82000.0,33.2,7.6,BC
Barrie,0.265,3.3,7.7,85000.0,42.4,12.1,ON
Belleville - Quinte West,0.261,3.7,10.5,69500.0,36.7,11.2,ON
Brantford,0.265,3.4,9.4,76000.0,38.6,11.4,ON
Calgary,0.327,5.4,8.6,87000.0,34.5,12.3,AB
Chilliwack,0.27,3.3,10.4,74000.0,38.4,6.8,BC
Drummondville,0.256,4.0,13.5,56400.0,20.9,5.3,QC
Edmonton,0.292,5.1,8.8,84000.0,36.0,11.9,AB
Fredericton,0.271,4.3,11.6,69000.0,31.6,8.1,NB
Greater Sudbury / Grand Sudbury,0.275,3.8,9.6,74000.0,31.6,10.3,ON
Guelph,0.285,4.0,7.7,84000.0,36.9,10.5,ON
Halifax,0.284,5.4,12.0,69500.0,36.5,11.4,NS
Hamilton,0.298,5.4,9.4,80000.0,39.0,11.8,ON
Kamloops,0.273,3.7,8.7,77000.0,36.2,7.6,BC
Kelowna,0.296,4.2,9.5,75500.0,43.7,8.0,BC
Kingston,0.288,5.1,10.1,73500.0,41.4,12.3,ON
Kitchener - Cambridge - Waterloo,0.287,6.2,9.3,81000.0,36.9,10.9,ON
Lethbridge,0.273,3.7,9.6,75000.0,35.0,8.9,AB
London,0.294,5.6,12.4,71000.0,38.4,12.4,ON
Moncton,0.27,4.8,12.5,65500.0,33.1,8.4,NB
Montréal,0.296,7.0,12.0,65500.0,27.9,8.4,QC
Nanaimo,0.274,4.5,10.7,70000.0,39.9,8.3,BC
Oshawa,0.266,3.0,7.3,89000.0,41.7,13.2,ON
Ottawa - Gatineau,0.29,5.4,8.8,84000.0,32.7,9.7,ON/QC
Peterborough,0.279,4.6,10.8,70500.0,43.0,13.0,ON
Québec,0.257,4.8,8.9,65500.0,23.5,6.4,QC
Red Deer,0.283,3.6,9.8,75000.0,34.8,12.3,AB
Regina,0.288,4.3,10.2,78500.0,35.4,9.5,SK
Saguenay,0.254,3.6,11.4,61200.0,20.1,5.6,QC
Saint John,0.288,4.2,13.2,65000.0,27.0,9.8,NB
Saskatoon,0.291,4.8,11.0,77500.0,36.9,8.2,SK
Sherbrooke,0.274,4.7,13.6,56800.0,24.4,6.0,QC
St. Catharines - Niagara,0.28,4.2,11.0,69500.0,39.5,16.2,ON
St. John's,0.292,4.7,11.3,72500.0,33.7,10.7,NL
Thunder Bay,0.276,4.8,11.0,71000.0,30.2,10.9,ON
Toronto,0.33,6.6,10.2,85000.0,40.5,13.3,ON
Trois-Rivières,0.268,4.7,14.3,55200.0,20.3,6.4,QC
Vancouver,0.321,7.7,11.1,79500.0,38.5,8.6,BC
Victoria,0.29,4.5,8.9,75500.0,40.0,6.9,BC
Windsor,0.298,4.4,11.3,73000.0,34.8,15.7,ON
Winnipeg,0.29,7.7,12.2,71500.0,35.8,8.6,MB
